version,tp_successful,fn_successful,tp_failed,fn_failed,fp,tn,tpr,tpr_ci_low,tpr_ci_high,far,far_ci_low,far_ci_high,accuracy,precision,f1
v1,55,15,105,225,0,200,0.7857142857142857,0.676088137365211,0.8656129698289221,0.0,1.734723475976807e-18,0.018845326377266575,0.9444444444444444,1.0,0.88
v2,30,40,58,272,0,200,0.42857142857142855,0.3193530887999687,0.545221634401498,0.0,1.734723475976807e-18,0.018845326377266575,0.8518518518518519,1.0,0.6
v3,40,30,74,256,0,200,0.5714285714285714,0.45477836559850204,0.6806469112000313,0.0,1.734723475976807e-18,0.018845326377266575,0.8888888888888888,1.0,0.7272727272727273
