version,tp,fp,tn,fn,total_attacks,total_benign,tpr,tpr_ci_low,tpr_ci_high,far,far_ci_low,far_ci_high,fnr,accuracy,precision,f1
v1,70,0,330,0,70,330,1.0,0.9479769375897331,1.0,0.0,0.0,0.011506835712569085,0.0,1.0,1.0,1.0
v2,70,1,329,0,70,330,1.0,0.9479769375897331,1.0,0.0030303030303030303,0.0005351233237087822,0.01696258005120837,0.0,0.9975,0.9859154929577465,0.9929078014184397
v3,70,2,328,0,70,330,1.0,0.9479769375897331,1.0,0.006060606060606061,0.0016636132453936824,0.021824957791871533,0.0,0.995,0.9722222222222222,0.9859154929577465
