version,tp,fp,tn,fn,total_attacks,total_benign,tpr,tpr_ci_low,tpr_ci_high,far,far_ci_low,far_ci_high,accuracy,precision,f1
v1,0,0,200,130,130,200,0.0,0.0,0.028701561194431423,0.0,1.734723475976807e-18,0.018845326377266575,0.6060606060606061,0.0,0.0
v2,1,0,200,129,130,200,0.007692307692307693,0.0013591742355797132,0.04228543986355276,0.0,1.734723475976807e-18,0.018845326377266575,0.6090909090909091,1.0,0.015267175572519083
v3,2,0,200,128,130,200,0.015384615384615385,0.00422920584405527,0.054358461159778264,0.0,1.734723475976807e-18,0.018845326377266575,0.6121212121212121,1.0,0.030303030303030304
