config_id,config_name,components,tp,fp,tn,fn,tpr,tpr_ci_low,tpr_ci_high,fpr,fpr_ci_low,fpr_ci_high,accuracy,precision,recall,f1,avg_latency_ms
A,Signature-only,v1,55,0,200,15,0.7857142857142857,0.676088137365211,0.8656129698289221,0.0,1.734723475976807e-18,0.018845326377266575,0.9444444444444444,1.0,0.7857142857142857,0.88,0.0031626224517822266
B,Rules-only,v2,30,0,200,40,0.42857142857142855,0.3193530887999687,0.545221634401498,0.0,1.734723475976807e-18,0.018845326377266575,0.8518518518518519,1.0,0.42857142857142855,0.6,0.0021648406982421875
C,Classifier-only,v3,59,122,78,11,0.8428571428571429,0.7401175342315778,0.909923794401382,0.61,0.5409374595716976,0.6749165686253038,0.5074074074074074,0.3259668508287293,0.8428571428571429,0.4701195219123506,0.0022393465042114258
D,Signature + Rules,"v1, v2",57,0,200,13,0.8142857142857143,0.7077442179325669,0.8881269999809797,0.0,1.734723475976807e-18,0.018845326377266575,0.9518518518518518,1.0,0.8142857142857143,0.8976377952755905,0.0027674436569213867
E,Signature + Classifier,"v1, v3",62,122,78,8,0.8857142857142857,0.7903577841784561,0.9409387105336235,0.61,0.5409374595716976,0.6749165686253038,0.5185185185185185,0.33695652173913043,0.8857142857142857,0.4881889763779528,0.0023567676544189453
F,Rules + Classifier,"v2, v3",61,122,78,9,0.8714285714285714,0.7733524405057483,0.9308589988466248,0.61,0.5409374595716976,0.6749165686253038,0.5148148148148148,0.3333333333333333,0.8714285714285714,0.48221343873517786,0.0024175643920898438
G,All three combined,"v1, v2, v3",62,122,78,8,0.8857142857142857,0.7903577841784561,0.9409387105336235,0.61,0.5409374595716976,0.6749165686253038,0.5185185185185185,0.33695652173913043,0.8857142857142857,0.4881889763779528,0.0028228759765625
